StudentID,Rank,Major,Item,Response
1,senior,non-science,1,5
2,senior,science,1,5
3,senior,non-science,1,5
4,senior,science,1,4
5,senior,science,1,5
6,senior,science,1,5
7,senior,science,1,5
8,senior,non-science,1,5
9,junior,science,1,5
10,junior,science,1,5
11,graduate,non-science,1,5
12,junior,non-science,1,5
13,junior,non-science,1,5
14,NA,science,1,5
15,sophomore,non-science,1,5
16,junior,non-science,1,5
17,sophomore,non-science,1,5
18,junior,science,1,5
19,freshman,non-science,1,5
20,freshman,science,1,5
21,sophomore,non-science,1,5
22,freshman,science,1,5
23,freshman,science,1,5
24,freshman,non-science,1,5
25,sophomore,science,1,5
26,freshman,science,1,5
27,freshman,science,1,4
28,freshman,non-science,1,5
29,junior,non-science,1,5
30,freshman,science,1,4
31,freshman,science,1,4
32,freshman,non-science,1,5
33,junior,non-science,1,5
34,freshman,science,1,5
35,freshman,non-science,1,5
36,junior,non-science,1,4
37,freshman,non-science,1,5
38,sophomore,non-science,1,4
39,freshman,non-science,1,4
40,freshman,science,1,5
41,senior,non-science,1,5
42,junior,science,1,5
43,senior,non-science,1,4
44,senior,science,1,4
45,senior,non-science,1,4
46,graduate,science,1,5
47,sophomore,science,1,4
48,freshman,science,1,4
49,freshman,non-science,1,4
50,freshman,non-science,1,5
51,freshman,non-science,1,4
52,senior,non-science,1,4
53,graduate,science,1,5
54,sophomore,non-science,1,4
55,sophomore,non-science,1,4
56,sophomore,non-science,1,4
57,senior,non-science,1,5
58,junior,science,1,5
59,junior,science,1,4
60,junior,science,1,4
61,sophomore,science,1,4
62,freshman,non-science,1,5
63,freshman,science,1,4
64,freshman,non-science,1,4
65,freshman,science,1,4
66,freshman,non-science,1,1
67,sophomore,science,1,4
68,sophomore,science,1,5
69,sophomore,science,1,5
70,sophomore,science,1,5
71,sophomore,non-science,1,5
72,junior,science,1,5
73,freshman,science,1,5
74,sophomore,NA,1,5
75,sophomore,science,1,5
76,sophomore,science,1,5
77,senior,science,1,5
78,freshman,non-science,1,5
79,freshman,non-science,1,5
80,sophomore,science,1,5
81,freshman,non-science,1,5
82,junior,non-science,1,5
83,junior,science,1,4
84,sophomore,non-science,1,5
85,sophomore,non-science,1,4
86,sophomore,science,1,5
87,freshman,science,1,5
88,sophomore,science,1,5
89,senior,non-science,1,4
90,sophomore,science,1,5
91,freshman,science,1,5
92,graduate,non-science,1,5
93,freshman,science,1,5
94,sophomore,non-science,1,5
95,sophomore,non-science,1,5
96,junior,science,1,5
97,junior,science,1,5
98,freshman,non-science,1,5
99,freshman,science,1,5
100,NA,science,1,5
101,freshman,non-science,1,5
102,freshman,science,1,5
103,freshman,science,1,5
104,senior,non-science,1,5
105,senior,science,1,5
106,junior,science,1,4
107,senior,science,1,4
