State,On-demand gestational limit,Waiting period,Mandatory ultrasound,Mandatory Social Counseling,% of counties without provider,Parental notification for minors,Parental consent for minors,Active Legislation
Alabama,Fertilization,N/A; abortion is banned here.,N/A; abortion is banned here.,N/A; abortion is banned here.,100%,N/A; abortion is banned here.,N/A; abortion is banned here.,4
Alaska,At any stage,None,No,Yes,37%,No,No,
Arizona,15 weeks,Yes,Yes,Yes,80%,Yes,Yes,
Arkansas,Fertilization,N/A; abortion is banned here.,N/A; abortion is banned here.,N/A; abortion is banned here.,100%,N/A; abortion is banned here.,N/A; abortion is banned here.,22
California,Viability,None,No,None,5%,No,No,
Colorado,At any stage,None,No,None,27%,Yes,No,
Connecticut,Viability,None,No,None,5%,No,No,
Delaware,Viability,None,No,Yes,33%,Yes,No,
Florida,6 weeks,None,Yes,None,20%,Yes,Yes,38
Georgia,22 weeks,Yes,No,Yes,58%,Yes,No,235
Hawaii,Viability,None,No,None,5%,No,No,
Idaho,Fertilization,N/A; abortion is banned here.,N/A; abortion is banned here.,N/A; abortion is banned here.,100%,N/A; abortion is banned here.,N/A; abortion is banned here.,57
Illinois,Viability,None,No,None,40%,No,No,
Indiana,Fertilization,N/A; abortion is banned here.,N/A; abortion is banned here.,N/A; abortion is banned here.,100%,N/A; abortion is banned here.,N/A; abortion is banned here.,66
Iowa,6 weeks,None,No,None,42%,Yes,No,69
Kansas,22 weeks,Yes,Yes,Yes,56%,No,One,"78, 79"
Kentucky,Fertilization,N/A; abortion is banned here.,N/A; abortion is banned here.,N/A; abortion is banned here.,100%,N/A; abortion is banned here.,N/A; abortion is banned here.,91
Louisiana,Fertilization,N/A; abortion is banned here.,N/A; abortion is banned here.,N/A; abortion is banned here.,100%,N/A; abortion is banned here.,N/A; abortion is banned here.,
Maine,Viability,None,No,None,55%,No,No,
Maryland,At any stage,None,No,None,24%,Yes,No,
Massachusetts,24 weeks,None,No,Yes,14%,No,One,
Michigan,Viability,No,No,No,40%,No,One,
Minnesota,At any stage,No,No,No,59%,No,No,109
Mississippi,Fertilization,N/A; abortion is banned here.,N/A; abortion is banned here.,N/A; abortion is banned here.,100%,N/A; abortion is banned here.,N/A; abortion is banned here.,112
Missouri,Fertilization,N/A; abortion is banned here.,N/A; abortion is banned here.,N/A; abortion is banned here.,100%,N/A; abortion is banned here.,N/A; abortion is banned here.,
Montana,Viability,None,No,None,55%,No,No ,128
Nebraska,12 weeks,Yes,No,Yes,41%,No,One,
Nevada,24 weeks,None,No,None,9%,No,No,
New Hampshire,Viability,None,No,None,30%,Yes,No,
New Jersey,At any stage,None,No,None,23%,No,No,
New Mexico,At any stage,None,No,None,48%,No,No,
New York,24 weeks,None,No,None,10%,No,No,
North Carolina,12 weeks,None,No,None,53%,No,One,143
North Dakota,Viability [239],No,No,No,100%,No,No,
Ohio,Viability,No,No,Yes,56%,No,One,
Oklahoma,Fertilization,N/A; abortion is banned here.,N/A; abortion is banned here.,N/A; abortion is banned here.,100%,N/A; abortion is banned here.,N/A; abortion is banned here.,"157, 158"
Oregon,At any stage,None,No,None,30%,No,No,
Pennsylvania,24 weeks,Yes,No,Yes,48%,No,One,
Rhode Island,Viability,None,No,Yes,36%,No,One,
South Carolina,6 weeks,Yes,No,Yes,71%,No,One,175
South Dakota,Fertilization,N/A; abortion is banned here.,N/A; abortion is banned here.,N/A; abortion is banned here.,100%,N/A; abortion is banned here.,N/A; abortion is banned here.,182
Tennessee,Fertilization,N/A; abortion is banned here.,N/A; abortion is banned here.,N/A; abortion is banned here.,100%,N/A; abortion is banned here.,N/A; abortion is banned here.,186
Texas,Fertilization,N/A; abortion is banned here.,N/A; abortion is banned here.,N/A; abortion is banned here.,100%,N/A; abortion is banned here.,N/A; abortion is banned here.,188
Utah,18 weeks,Yes,No,Yes,62%,Yes,One,
Vermont,At any stage,None,No,None,38%,No,No,
Virginia,25 weeks,Yes,24 hours,Yes,78%,Yes,One,
Washington,Viability,None,No,None,15%,No,No,
West Virginia,Fertilization,N/A; abortion is banned here.,N/A; abortion is banned here.,N/A; abortion is banned here.,100%,N/A; abortion is banned here.,N/A; abortion is banned here.,213
Wisconsin,22 weeks,Yes,24 hours,Yes,67%,No,One,
Wyoming,Viability,None,No,None,96%,Yes,One,
