Title,Studio,Genre,Year,Gross,PercentDomestic,Rotten,IMDB,Rating,Days,Budget
Avatar,Fox,Action/Adventure,2009,2782300000,0.273,83,8,PG-13,238,237
Titanic,Par.,Drama,1997,2185400000,0.301,88,7.6,PG-13,219,200
Harry Potter and the Deathly Hallows Part 2,WB,Action/Adventure,2011,1341500000,0.284,96,8.1,PG-13,133,125
Skyfall,Sony,Action/Adventure,2012,1108600000,0.275,92,7.8,PG-13,122,200
The Dark Knight Rises,WB,Action/Adventure,2012,1084400000,0.413,87,8.6,PG-13,147,250
Star Wars: Episode I - The Phantom Menace,Fox,Action/Adventure,1999,1027000000,0.462,57,6.5,PG,261,115
The Hobbit: An Unexpected Journey,WB,Action/Adventure,2012,1017000000,0.298,65,8.1,PG-13,133,180
The Dark Knight,WB,Action/Adventure,2008,1004600000,0.532,94,9,PG-13,231,185
Harry Potter and the Sorcerer's Stone,WB,Action/Adventure,2001,974800000,0.326,80,7.3,PG,162,125
Jurassic Park,Uni.,Action/Adventure,1993,969900000,0.415,92,8,PG-13,147,63
Harry Potter and the Deathly Hallows Part 1,WB,Action/Adventure,2010,960300000,0.308,78,7.6,PG-13,140,150
Harry Potter and the Order of the Phoenix,WB,Action/Adventure,2007,939900000,0.311,79,7.4,PG-13,156,150
Harry Potter and the Half-Blood Prince,WB,Action/Adventure,2009,934400000,0.323,84,7.4,PG-13,156,250
Harry Potter and the Goblet of Fire,WB,Action/Adventure,2005,896900000,0.323,87,7.5,PG-13,140,150
Spider-Man 3,Sony,Action/Adventure,2007,890900000,0.378,63,6.3,PG-13,112,258
Ice Age: Dawn of the Dinosaurs,Fox,Animation,2009,886700000,0.222,45,7,PG,149,90
Harry Potter and the Chamber of Secrets,WB,Action/Adventure,2002,879000000,0.298,83,7.2,PG-13,171,100
Ice Age: Continental Drift,Fox,Animation,2012,877200000,0.184,37,6.6,PG,210,95
Star Wars: Episode III - Revenge of the Sith,Fox,Action/Adventure,2005,848800000,0.448,80,7.7,PG-13,155,113
Inception,WB,Action/Adventure,2010,825500000,0.354,86,8.8,PG-13,175,160
Spider-Man,Sony,Action/Adventure,2002,821700000,0.491,89,7.3,PG-13,159,139
Independence Day,Fox,Action/Adventure,1996,817400000,0.375,60,6.8,PG-13,194,75
Harry Potter and the Prisoner of Azkaban,WB,Action/Adventure,2004,796700000,0.313,91,7.7,PG,178,130
E.T.: The Extra-Terrestrial,Uni.,Action/Adventure,1982,792900000,0.549,98,7.9,PG,115,10.5
Indiana Jones and the Kingdom of the Crystal Skull,Par.,Action/Adventure,2008,786600000,0.403,78,6.3,PG-13,148,185
Spider-Man 2,Sony,Action/Adventure,2004,783800000,0.477,93,7.4,PG-13,159,200
Star Wars,Fox,Action/Adventure,1977,775400000,0.595,93,8.8,PG,113,11
2012,Sony,Action/Adventure,2009,769700000,0.216,39,5.8,PG-13,101,200
The Da Vinci Code,Sony,Action/Adventure,2006,758200000,0.287,25,6.4,PG-13,94,125
The Amazing Spider-Man,Sony,Action/Adventure,2012,752200000,0.348,73,7.1,PG-13,104,230
The Matrix Reloaded,WB,Action/Adventure,2003,742100000,0.379,73,7.1,R,183,150
Mission: Impossible - Ghost Protocol,Par.,Action/Adventure,2011,694700000,0.301,93,7.4,PG-13,119,145
Forrest Gump,Par.,Drama,1994,677400000,0.487,71,8.7,PG-13,133,55
Ice Age: The Meltdown,Fox,Animation,2006,655400000,0.298,57,6.8,PG,161,80
Star Wars: Episode II - Attack of the Clones,Fox,Action/Adventure,2002,649400000,0.478,67,6.7,PG,172,115
Fast Five,Uni.,Action/Adventure,2011,626100000,0.335,77,7.3,PG-13,105,125
Hancock,Sony,Action/Adventure,2008,624400000,0.365,41,6.5,PG-13,72,150
MIB 3,Sony,Action/Adventure,2012,624000000,0.287,70,6.9,PG-13,108,225
Iron Man 2,Par.,Action/Adventure,2010,623900000,0.501,73,7.1,PG-13,105,200
The Lost World: Jurassic Park,Uni.,Action/Adventure,1997,618600000,0.37,52,6.4,PG-13,147,73
Mamma Mia!,Uni.,Comedy,2008,609800000,0.236,54,6.3,PG-13,111,52
Life of Pi,Fox,Action/Adventure,2012,609000000,0.205,88,8.1,PG,226,120
Casino Royale,Sony,Action/Adventure,2006,599000000,0.28,95,7.9,PG-13,122,150
War of the Worlds,Par.,Action/Adventure,2005,591700000,0.396,74,6.5,PG-13,149,132
